2347909	 1747.0	  900.0	 1082.0	...
2347910	 1747.0	  900.0	 1082.0	...
2347911	 1747.0	  900.0	 1082.0	...
2347912	 1747.0	  900.0	 1083.0	...
2347913	 1747.0	  900.0	 1081.0	...
2347914	 1748.0	  900.0	 1081.0	...
2347915	 1748.0	  900.0	 1080.0	...
2347916	 1748.0	  900.0	 1080.0	...
2347917	 1748.0	  899.0	 1079.0	...
2347918	 1748.0	  899.0	 1079.0	...
2347919	 1748.0	  899.0	 1078.0	...
2347920	 1748.0	  900.0	 1078.0	...
2347921	 1748.0	  901.0	 1077.0	...
2347922	 1748.0	  901.0	 1076.0	...
2347923	 1748.0	  902.0	 1075.0	...
2347924	 1747.0	  901.0	 1074.0	...
2347925	 1746.0	  901.0	 1074.0	...
2347926	 1745.0	  902.0	 1073.0	...
2347927	 1745.0	  903.0	 1073.0	...
2347928	 1745.0	  903.0	 1073.0	...
2347929	 1746.0	  903.0	 1073.0	...
2347930	 1747.0	  902.0	 1073.0	...
2347931	 1747.0	  902.0	 1072.0	...
2347932	 1747.0	  902.0	 1071.0	...
2347933	 1747.0	  902.0	 1071.0	...
2347934	 1746.0	  902.0	 1071.0	...
2347935	 1747.0	  904.0	 1072.0	...
2347936	 1747.0	  905.0	 1072.0	...
2347937	 1747.0	  906.0	 1072.0	...
2347938	 1747.0	  906.0	 1071.0	...
2347939	 1747.0	  906.0	 1069.0	...
2347940	 1747.0	  906.0	 1067.0	...
2347941	 1747.0	  906.0	 1065.0	...
2347942	 1748.0	  906.0	 1066.0	...
2347943	 1749.0	  906.0	 1065.0	...
MSG	2347944 RECORDING_START 87.679
MSG	2347944 TRIALID A_MB01_T001
MSG	2347944 TRIAL_START mini_block=1 trial_in_block=1 trial_type=image polygon_id=pair_C2_03
MSG	2347944 !V TRIAL_VAR trial_uid A_MB01_T001
MSG	2347944 !V TRIAL_VAR mini_block 1
MSG	2347944 !V TRIAL_VAR trial_in_block 1
MSG	2347944 !V TRIAL_VAR trial_type image
MSG	2347944 ERROR MESSAGES LOST 3
MSG	2347944 !V TRIAL_VAR cue_pos_id grid_11
MSG	2347944 !V TRIAL_VAR cue_x_px 960.0
MSG	2347944 !V TRIAL_VAR cue_y_px 540.0
MSG	2347944 !V TRIAL_VAR image_id A_Random_169
