timestamp,participant_id,part,mini_block,calibration_start_time,calibration_end_time,calibration_result,calibration_error_deg,validation_result,validation_error_avg_deg,validation_error_max_deg,n_trials,n_trials_completed,n_drift_failures,n_recalibrations_within_block,memory_response,memory_correct,memory_rt_ms,break_duration_actual_s,block_start_time,block_end_time,block_duration_s
2026-01-25T13:10:33.638132,P22,B,1,14.620281500276178,350.3441421999596,PASS,,PASS,,,39,39,0,,new,True,4949.324000161141,31.01560250017792,14.619933099951595,692.1158680003136,677.495934900362
2026-01-25T13:16:58.442791,P22,B,2,692.1204347000457,699.1663855002262,PASS,,PASS,,,39,38,1,,new,True,6719.149600248784,30.983155299909413,692.1201232001185,1076.9213078003377,384.80118460021913
2026-01-25T13:22:37.197782,P22,B,3,1076.931468800176,1083.7201263001189,PASS,,PASS,,,39,39,0,,new,False,7944.74310008809,30.981577400118113,1076.9311260003597,1415.6755143003538,338.74438829999417
2026-01-25T13:29:16.767171,P22,B,4,1415.6802810002118,1430.6757066003047,PASS,,PASS,,,39,38,1,,new,False,6194.65050008148,30.97612000023946,1415.6799363000318,1815.2456464003772,399.5657101003453
2026-01-25T13:38:00.250840,P22,B,5,1815.2501961002126,2002.1566596999764,PASS,,PASS,,,39,39,0,,old,True,3878.7040999159217,30.982528299558908,1815.2498437999748,2338.7286584000103,523.4788146000355
2026-01-25T13:44:14.188243,P22,B,6,2338.733438699972,2355.69500160031,PASS,,PASS,,,39,38,1,,new,True,7572.788100223988,30.96532850014046,2338.733058700338,2712.666029300075,373.932970599737
2026-01-25T13:50:59.791595,P22,B,7,2712.670646900311,2730.849686200265,PASS,,PASS,,,39,37,2,,old,True,4551.516799721867,30.96543180011213,2712.670301800128,3118.2693282002583,405.59902640013024
2026-01-25T13:57:20.579171,P22,B,8,3118.273964300286,3151.9525194000453,PASS,,PASS,,,39,39,0,,new,True,2225.538400001824,30.981319499667734,3118.273619700223,3499.056905800011,380.7832860997878
2026-01-25T14:02:56.068188,P22,B,9,3499.061427799985,3521.6900757001713,PASS,,PASS,,,39,38,1,,new,False,4385.196799878031,0.0,3499.061088900082,3834.5465684002265,335.4854795001447
