trial_uid,cue_fix_dist,n_cue_fix,n_stim_fix,closest_center,closest_dist
A_MB01_T001,18.384776310850235,4,17,CHC,202.09277488247514
A_MB01_T002,14.142135623730951,10,13,SCREEN,229.65191050805564
A_MB01_T003,112.61438629233834,2,18,SCREEN,510.6397947673095
A_MB01_T004,58.05170109479997,9,16,COM,24.51159916105952
A_MB01_T005,45.5411901469428,8,13,SCREEN,685.2999343353245
A_MB01_T006,36.013886210738214,2,12,SCREEN,352.27829907617075
A_MB01_T007,148.49915824677257,3,11,ICC,85.1131037131143
A_MB01_T008,44.10215414239989,5,14,SCREEN,225.16216378423795
A_MB01_T009,95.88013350011565,8,14,ICC,616.7147660711715
A_MB01_T010,282.44822534404426,6,13,COM,386.2101100644225
A_MB01_T011,334.0538878684096,4,14,SCREEN,383.8150596315887
A_MB01_T012,89.55445270895244,6,9,SCREEN,274.0072991728505
A_MB01_T013,30.528675044947494,6,9,SCREEN,159.0628806478746
A_MB01_T014,60.207972893961475,3,19,SCREEN,291.19237627383035
A_MB01_T015,94.04786015641186,4,17,SCREEN,129.98846102635417
A_MB01_T016,83.5224520712844,5,0,N/A,
A_MB01_T017,96.17692030835673,3,0,N/A,
A_MB01_T018,111.28791488746656,26,14,SCREEN,309.02588888311607
A_MB01_T019,79.71198153351854,271,12,SCREEN,377.0331550407736
A_MB01_T020,63.56099432828282,37,18,SCREEN,334.90297102295165
A_MB01_T021,715.9497189048963,2,14,COM,353.7228220705035
A_MB01_T022,38.897300677553446,9,13,COM,295.85771450690606
A_MB01_T023,,0,13,SCREEN,470.2020842148618
A_MB01_T024,64.03124237432849,6,14,SCREEN,561.5069011152044
A_MB01_T025,80.05623023850174,3,0,N/A,
A_MB01_T026,144.9310180741169,5,15,CHC,360.77902685063486
A_MB01_T027,84.77027781009096,36,0,N/A,
A_MB01_T028,81.83520025025906,26,18,ICC,569.1623371498107
A_MB01_T029,57.3149195236284,8,26,CHC,138.67161857896022
A_MB01_T030,13.45362404707371,7,18,COM,406.0505861685399
A_MB01_T031,36.359317925395686,4,17,SCREEN,147.52626884728022
A_MB01_T032,82.87339742040264,2,0,N/A,
A_MB01_T033,63.198101237299845,3,15,SCREEN,334.07334524023315
A_MB01_T034,158.14234094637652,5,18,SCREEN,719.573484781089
A_MB01_T035,141.65097952361643,3,14,CHC,120.16906798794648
A_MB01_T036,58.89821729050889,13,15,SCREEN,1176.078653832302
A_MB01_T037,97.98469268207153,6,18,SCREEN,484.54617942978354
A_MB01_T038,52.20153254455275,4,15,COM,47.53887838961858
A_MB01_T039,55.47071299343465,6,16,SCREEN,625.5981138078982
A_MB02_T040,46.17358552246078,4,9,CHC,394.183967203132
A_MB02_T041,32.01562118716424,11,0,N/A,
A_MB02_T042,117.957619508025,3,15,SCREEN,66.52818951391959
A_MB02_T043,23.706539182259394,4,5,SCREEN,374.70655185091175
A_MB02_T044,39.0,2,18,SCREEN,499.13925912514634
A_MB02_T045,71.00704190430693,5,13,SCREEN,267.6191323504357
A_MB02_T046,45.17742799230607,8,24,SCREEN,1099.5567288685018
A_MB02_T047,31.89043743820395,7,14,SCREEN,346.2080299473136
A_MB02_T048,98.41239759298622,7,15,SCREEN,566.2578917772361
A_MB02_T049,62.03224967708329,4,12,SCREEN,209.19369015340783
A_MB02_T050,90.69729874698585,1,16,SCREEN,33.24154027718932
A_MB02_T051,91.02197536858887,4,0,N/A,
A_MB02_T052,78.44743462982075,3,17,ICC,388.8532563785526
A_MB02_T053,70.2922470831599,4,16,SCREEN,605.8159786601868
A_MB02_T054,75.82216034906945,3,0,N/A,
A_MB02_T055,67.23094525588644,4,15,SCREEN,312.70593214712125
A_MB02_T056,13.0,7,2,SCREEN,648.3162808382958
A_MB02_T057,64.8459713474939,3,13,CHC,411.26009414895634
A_MB02_T058,61.85466837676846,4,20,ICC,898.6307515891407
A_MB02_T059,28.071337695236398,5,18,CHC,62.36370923082878
A_MB02_T060,40.718546143004666,4,15,SCREEN,471.94279314340633
A_MB02_T061,52.009614495783374,5,16,CHC,208.54978397498473
A_MB02_T062,81.34494452638098,4,14,SCREEN,469.8638100556373
A_MB02_T063,11.661903789690601,4,15,SCREEN,1112.4535945377677
A_MB02_T064,55.46169849544819,5,2,SCREEN,172.12204972053988
A_MB02_T065,70.2922470831599,4,16,CHC,271.59735381563246
A_MB02_T066,89.55445270895244,6,0,N/A,
A_MB02_T067,80.52949770115296,6,0,N/A,
A_MB02_T068,46.75467891024384,7,9,SCREEN,886.3909972467004
A_MB02_T069,154.02921800749363,33,10,CHC,146.87308528153883
A_MB02_T070,63.7808748764079,5,7,SCREEN,321.72659200010185
A_MB02_T071,66.03029607687671,3,13,SCREEN,736.131102453904
A_MB02_T072,101.87246929372037,13,0,N/A,
A_MB02_T073,67.05221845696084,4,0,N/A,
A_MB02_T074,111.36426715962351,5,15,CHC,134.7237663772615
A_MB02_T075,87.32124598286491,14,19,COM,271.924984010635
A_MB02_T076,60.166435825965294,5,9,SCREEN,502.176263875544
A_MB02_T077,64.53681120105021,3,6,ICC,92.4705468789933
A_MB02_T078,84.77027781009096,1,6,SCREEN,98.6154146165801
A_MB03_T079,,0,0,N/A,
A_MB03_T080,,0,0,N/A,
A_MB03_T081,,0,0,N/A,
A_MB03_T082,,0,0,N/A,
A_MB03_T083,,0,0,N/A,
A_MB03_T084,,0,0,N/A,
