center,ci_lower,ci_upper,n_wins,win_probability
CoM,0.39084065244667504,0.4247176913425345,1300,0.4077791718946048
BBC,0.1191969887076537,0.14272271016311167,417,0.1308030112923463
CHC,0.1587202007528231,0.18475533249686324,547,0.17158092848180678
ICC,0.2741530740276035,0.3055207026348808,924,0.28983688833124216
