center,ci_lower_px,ci_upper_px,mean_distance_px,n_trials,sem_distance_px,std_distance_px
CoM,666.8520199075613,736.9987548701765,701.9253873888689,2949,17.894575245565086,971.7594674987188
BBC,683.3125537554732,752.378103956523,717.8453288559981,2949,17.618762806390215,956.7815568557421
CHC,675.1591043917191,744.7812554312294,709.9701799114742,2949,17.760752816201595,964.4922811635819
ICC,692.5631646067775,761.8361283697977,727.1996464882876,2949,17.671674429341905,959.6549064512723
