comparison,corrected_alpha,mean_diff_px,p_value_uncorrected,significant_holm,t_statistic
CoM vs BBC,0.008333333333333333,-15.919941467129206,3.5117520606141016e-88,True,-20.597396357939942
CoM vs CHC,0.0125,-8.044792522605348,1.4274799246423128e-37,True,-12.992256503448143
CoM vs ICC,0.01,-25.274259099418714,3.149112305914077e-70,True,-18.19989748777004
BBC vs CHC,0.016666666666666666,7.875148944523858,7.122098833868891e-36,True,12.672463864977507
BBC vs ICC,0.05,-9.354317632289508,3.34950232838862e-08,True,-5.536893645287701
CHC vs ICC,0.025,-17.229466576813365,7.811950324804227e-24,True,-10.153950864129248
