center_type,mean_distance,n,std_distance
COM,479.0003646785793,4564,837.6699475122875
BBC,498.86831379214163,4564,824.6485772811345
CHC,488.86206340058095,4564,831.1834194106615
ICC,508.3651811089042,4564,828.7997314405643
