timestamp,participant_id,part,mini_block,trial_in_block,trial_uid,trial_type,polygon_id,polygon_case,polygon_json_path,image_id,image_path,category,bias_level,aperture_scale_factor,cue_pos_id,cue_x_px,cue_y_px,cue_x_deg,cue_y_deg,stimulus_duration_s,iti_s,max_drift_time_s,drift_retry_limit,aoi_radius_deg,aoi_radius_px,validation_rms_before_trial,validation_max_err_before_trial,center_screen_x_px,center_screen_y_px,center_screen_x_deg,center_screen_y_deg,center_mass_x_px,center_mass_y_px,center_mass_x_deg,center_mass_y_deg,dist_center_mass_to_screen_deg,angle_center_mass_to_screen_deg,center_hull_x_px,center_hull_y_px,center_hull_x_deg,center_hull_y_deg,dist_center_hull_to_screen_deg,angle_center_hull_to_screen_deg,center_bbc_x_px,center_bbc_y_px,center_bbc_x_deg,center_bbc_y_deg,dist_center_bbc_to_screen_deg,angle_center_bbc_to_screen_deg,center_icc_x_px,center_icc_y_px,center_icc_x_deg,center_icc_y_deg,dist_center_icc_to_screen_deg,angle_center_icc_to_screen_deg,drift_check_passed,drift_error_x_deg,drift_error_y_deg,drift_attempts,drift_total_time_s,ts_trial_start,ts_recording_start,ts_cue_onset,ts_drift_end,ts_stim_onset,ts_stim_offset,ts_iti_onset,ts_iti_offset,ts_recording_stop,ts_trial_end,trial_start_time,trial_end_time,trial_duration_s,aborted,recalibrated
2026-01-14T22:49:27.636101,P01,A,1,11,A_MB01_T011,image,iso_bbc_02,iso_bbc,data/raw/stimuli/polygons/iso_bbc_02.json,A_Fractal_053,data/raw/stimuli/CAT2000/Fractal/053.jpg,Fractal,nan,1987,grid_12,1920,540,23.119020643887126,6.846807837997614,4.0,0.5,10.0,1,2.0,157.04706105708198,,,1920.0,1080.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,True,,,1,2.9460886002052575,118.40971979987808,118.5189785999246,118.5345812998712,126.5410076000262,121.96723739989102,125.98434689990245,125.98434689990245,126.48633520002477,126.54101120005362,126.48637429997325,118.40971979987808,126.48637429997325,8.076654500095174,False,False
2026-01-14T22:49:33.503313,P01,A,1,12,A_MB01_T012,image,pair_C1_02,pair_C1_bbc_vs_chc_icc,data/raw/stimuli/polygons/pair_com_bbc_vs_chc_icc_02.json,A_Object_185,data/raw/stimuli/CAT2000/Object/185.jpg,Object,nan,1987,grid_13,2880,540,32.63520862273857,6.846807837997614,4.0,0.5,10.0,1,2.0,157.04706105708198,,,1920.0,1080.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,True,,,1,0.6508124000392854,126.54291149997152,126.67497879988514,126.68492290005088,132.40901669999585,127.83350349985994,131.8508611000143,131.8508611000143,132.35290180006996,132.40902019990608,132.35295179998502,126.54291149997152,132.35295179998502,5.8100403000134975,False,False
2026-01-14T22:49:39.253717,P01,A,1,13,A_MB01_T013,image,iso_icc_03,iso_icc,data/raw/stimuli/polygons/iso_icc_03.json,A_Fractal_089,data/raw/stimuli/CAT2000/Fractal/089.jpg,Fractal,nan,1987,grid_21,960,1080,12.049751363346202,13.503472356031734,4.0,0.5,10.0,1,2.0,157.04706105708198,,,1920.0,1080.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,True,,,1,0.5219703998882324,132.41097859991714,132.5209800999146,132.53505309997126,138.15900289989077,133.58278369996697,137.60068659996614,137.60068659996614,138.10262320004404,138.15900629991665,138.10265960008837,132.41097859991714,138.10265960008837,5.691681000171229,False,False
2026-01-14T22:49:50.569886,P01,A,1,14,A_MB01_T014,image,iso_bbc_01,iso_bbc,data/raw/stimuli/polygons/iso_bbc_01.json,A_Object_169,data/raw/stimuli/CAT2000/Object/169.jpg,Object,nan,1987,grid_22,1920,1080,23.119020643887126,13.503472356031734,4.0,0.5,10.0,1,2.0,157.04706105708198,,,1920.0,1080.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,True,,,1,6.1312798000872135,138.1609306000173,138.26797899999656,138.28442799998447,149.47500530001707,144.9010161999613,148.9169538000133,148.9169538000133,149.4187928000465,149.4750087999273,149.4188289998565,138.1609306000173,149.4188289998565,11.257898399839178,False,False
2026-01-14T22:49:58.368494,P01,A,1,15,A_MB01_T015,image,allfar_concave_01,allfar_concave,data/raw/stimuli/polygons/allfar_concave.json,A_Fractal_083,data/raw/stimuli/CAT2000/Fractal/083.jpg,Fractal,nan,1987,grid_23,2880,1080,32.63520862273857,13.503472356031734,4.0,0.5,10.0,1,2.0,157.04706105708198,,,1920.0,1080.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,True,,,1,2.5799680000636727,149.47691349987872,149.5849788999185,149.6007691998966,157.27400229987688,152.69966319995,156.7166581999045,156.7166581999045,157.21869889996015,157.27400560001843,157.21873539988883,149.47691349987872,157.21873539988883,7.741821900010109,False,False
2026-01-14T22:50:04.285689,P01,A,1,16,A_MB01_T016,image,pair_C1_01,pair_C1_bbc_vs_chc_icc,data/raw/stimuli/polygons/pair_com_bbc_vs_chc_icc_01.json,A_OutdoorNatural_023,data/raw/stimuli/CAT2000/OutdoorNatural/023.jpg,OutdoorNatural,nan,1987,grid_31,960,1620,12.049751363346202,19.80974465169186,4.0,0.5,10.0,1,2.0,157.04706105708198,,,1920.0,1080.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,True,,,1,0.6698954000603408,157.27590849995613,157.38397890003398,157.4004078998696,163.19100610003807,158.61583040002733,162.6331857999321,162.6331857999321,163.13508510007523,163.19100979994982,163.13512019999325,157.27590849995613,163.13512019999325,5.859211700037122,False,False
2026-01-14T22:50:12.983663,P01,A,1,17,A_MB01_T017,empty,pair_C2_02,pair_C2_chc_vs_bbc_icc,data/raw/stimuli/polygons/pair_com_chc_vs_bbc_icc_02.json,nan,nan,nan,nan,1987,grid_32,1920,1620,23.119020643887126,19.80974465169186,4.0,0.5,10.0,1,2.0,157.04706105708198,,,1920.0,1080.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,True,,,1,3.988100599963218,163.1930110999383,163.30197899998166,163.31701199989766,171.88900329987518,167.31632269988768,171.33284009993076,171.33284009993076,171.8348520998843,171.88900680001825,171.83488969993778,163.1930110999383,171.83488969993778,8.641878599999472,False,False
2026-01-14T22:50:25.818732,P01,A,1,18,A_MB01_T018,image,pair_C3_01,pair_C3_icc_vs_chc_bbc,data/raw/stimuli/polygons/pair_com_icc_vs_chc_bbc_01.json,A_Fractal_069,data/raw/stimuli/CAT2000/Fractal/069.jpg,Fractal,nan,1987,grid_33,2880,1620,32.63520862273857,19.80974465169186,4.0,0.5,10.0,1,2.0,157.04706105708198,,,1920.0,1080.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,True,,,1,7.603373399935663,171.88961820001714,172.02297919988632,172.03282029996626,184.7240064998623,180.14788229996338,184.1657930999063,184.1657930999063,184.6678045000881,184.7240100998897,184.66783900000155,171.88961820001714,184.66783900000155,12.77822079998441,False,False
2026-01-14T22:50:31.819435,P01,A,1,19,A_MB01_T019,image,iso_chc_02,iso_chc,data/raw/stimuli/polygons/iso_chc_02.json,A_Sketch_035,data/raw/stimuli/CAT2000/Sketch/035.jpg,Sketch,nan,1987,grid_11,960,540,12.049751363346202,6.846807837997614,4.0,0.5,10.0,1,2.0,157.04706105708198,,,1920.0,1080.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,True,,,1,0.6958526999223977,184.72591949999332,184.85697899991646,184.8829463000875,190.72501019993797,186.14958480000496,190.16556930006482,190.16556930006482,190.66749030002393,190.72501379996538,190.6675428999588,184.72591949999332,190.6675428999588,5.941623399965465,False,False
2026-01-14T22:50:37.667247,P01,A,1,20,A_MB01_T020,image,baseline_rect_01,baseline_rectangle,data/raw/stimuli/polygons/baseline_rectangle.json,A_Fractal_141,data/raw/stimuli/CAT2000/Fractal/141.jpg,Fractal,nan,1987,grid_12,1920,540,23.119020643887126,6.846807837997614,4.0,0.5,10.0,1,2.0,157.04706105708198,,,1920.0,1080.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,True,,,1,0.4997964999638498,190.7269210999366,190.83497909992002,190.84938819985837,196.57300850003958,191.99740620004013,196.0154047999531,196.0154047999531,196.51737829996273,196.573012100067,196.5174171999097,190.7269210999366,196.5174171999097,5.790496099973097,False,False
