trial_index,wall_clock,trial_type,fixation_x_px,fixation_y_px,stim_center_x_px,stim_center_y_px,stim_top_left_x_px,stim_top_left_y_px,stim_w_px,stim_h_px,concave_idx,fixation_outcome,fixation_ts_s,stim_on_ts_s,stim_off_ts_s,stim_duration_s,polygon_points_imgspace,polygon_base_points_imgspace,aborted
1,2026-06-08T12:09:02.343930,auto,352,648,712,360,312,-40,800,800,,manual,,,,5,"507.99,337.65;586.17,473.07;458.95,591.11;287.34,565.25;200.56,414.95;263.97,253.39;429.81,202.23","573.21,300.00;586.17,473.07;458.95,591.11;287.34,565.25;200.56,414.95;263.97,253.39;429.81,202.23",0
2,2026-06-08T12:09:07.598770,auto,928,72,640,360,240,-40,800,800,,manual,,,,5,"400.00,-76.39;590.21,338.20;517.56,561.80;282.44,561.80;209.79,338.20","400.00,200.00;590.21,338.20;517.56,561.80;282.44,561.80;209.79,338.20",1
