timestamp,participant_id,part,mini_block,trial_in_block,trial_uid,trial_type,polygon_id,polygon_case,polygon_json_path,image_id,image_path,category,bias_level,aperture_scale_factor,cue_pos_id,cue_x_px,cue_y_px,cue_x_deg,cue_y_deg,stimulus_duration_s,iti_s,max_drift_time_s,drift_retry_limit,aoi_radius_deg,aoi_radius_px,validation_rms_before_trial,validation_max_err_before_trial,center_screen_x_px,center_screen_y_px,center_screen_x_deg,center_screen_y_deg,center_mass_x_px,center_mass_y_px,center_mass_x_deg,center_mass_y_deg,dist_center_mass_to_screen_deg,angle_center_mass_to_screen_deg,center_hull_x_px,center_hull_y_px,center_hull_x_deg,center_hull_y_deg,dist_center_hull_to_screen_deg,angle_center_hull_to_screen_deg,center_bbc_x_px,center_bbc_y_px,center_bbc_x_deg,center_bbc_y_deg,dist_center_bbc_to_screen_deg,angle_center_bbc_to_screen_deg,center_icc_x_px,center_icc_y_px,center_icc_x_deg,center_icc_y_deg,dist_center_icc_to_screen_deg,angle_center_icc_to_screen_deg,fixation_achieved,fixation_attempts,fixation_total_time_s,ts_trial_start,ts_recording_start,ts_cue_onset,ts_fixation_end,ts_stim_onset,ts_stim_offset,ts_iti_onset,ts_iti_offset,ts_recording_stop,ts_trial_end,trial_start_time,trial_end_time,trial_duration_s,aborted,user_abort
2026-01-18T09:43:17.697992,P06,A,4,11,A_MB04_T128,image,pair_C3_01,pair_C3_icc_vs_chc_bbc,data/raw/stimuli/polygons/pair_com_icc_vs_chc_bbc_01.json,A_OutdoorNatural_109,data/raw/stimuli/CAT2000/OutdoorNatural/109.jpg,OutdoorNatural,nan,1987,grid_12,1920,540,23.119020643887126,6.846807837997614,4.0,0.5,10.0,1,2.0,157.04706105708198,,,1920.0,1080.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,True,1,1.6948653003200889,194.29625600017607,196.12747700000182,194.4326205002144,201.76149770012125,197.18154420005158,201.19880700018257,201.19880700018257,201.70062870020047,201.76150050014257,201.70066109998152,194.29625600017607,201.70066109998152,7.4044050998054445,False,
2026-01-18T09:43:25.095351,P06,A,4,12,A_MB04_T129,image,pair_C1_02,pair_C1_bbc_vs_chc_icc,data/raw/stimuli/polygons/pair_com_bbc_vs_chc_icc_02.json,A_Sketch_099,data/raw/stimuli/CAT2000/Sketch/099.jpg,Sketch,nan,1987,grid_13,2880,540,32.63520862273857,6.846807837997614,4.0,0.5,10.0,1,2.0,157.04706105708198,,,1920.0,1080.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,True,1,1.744334400165826,201.7622565003112,203.64347480004653,201.8991410001181,209.15949930017814,204.5823719999753,208.59851359995082,208.59851359995082,209.10031290026382,209.15950210019946,209.1003479002975,201.7622565003112,209.1003479002975,7.338091399986297,False,
2026-01-18T09:43:32.595905,P06,A,4,13,A_MB04_T130,image,allfar_convex_01,allfar_convex,data/raw/stimuli/polygons/allfar_convex.json,A_OutdoorNatural_039,data/raw/stimuli/CAT2000/OutdoorNatural/039.jpg,OutdoorNatural,nan,1987,grid_21,960,1080,12.049751363346202,13.503472356031734,4.0,0.5,10.0,1,2.0,157.04706105708198,,,1920.0,1080.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,True,1,1.7273246999830008,209.16025620000437,211.0094741000794,209.28214640030637,216.65949509991333,212.08131049992517,216.09829029999673,216.09829029999673,216.6002055001445,216.65949800005183,216.60024090018123,209.16025620000437,216.60024090018123,7.439984700176865,False,
2026-01-18T09:43:41.029909,P06,A,4,14,A_MB04_T131,image,iso_bbc_01,iso_bbc,data/raw/stimuli/polygons/iso_bbc_01.json,A_Random_091,data/raw/stimuli/CAT2000/Random/091.jpg,Random,nan,1987,grid_22,1920,1080,23.119020643887126,13.503472356031734,4.0,0.5,10.0,1,2.0,157.04706105708198,,,1920.0,1080.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,True,1,2.4435872002504766,216.66026209993288,219.22547429986298,216.7818839000538,225.0935031999834,220.51448119990528,224.53138050017878,224.53138050017878,225.03308330010623,225.09350629989058,225.03311339998618,216.66026209993288,225.03311339998618,8.372851300053298,False,
2026-01-18T09:43:49.980811,P06,A,4,15,A_MB04_T132,image,pair_C1_02,pair_C1_bbc_vs_chc_icc,data/raw/stimuli/polygons/pair_com_bbc_vs_chc_icc_02.json,A_Fractal_171,data/raw/stimuli/CAT2000/Fractal/171.jpg,Fractal,nan,1987,grid_23,2880,1080,32.63520862273857,13.503472356031734,4.0,0.5,10.0,1,2.0,157.04706105708198,,,1920.0,1080.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,True,1,2.811887000221759,225.09417239995673,228.04347420018166,225.2315870001912,234.04449670016766,229.46290630009025,233.48107150010765,233.48107150010765,233.9828995000571,234.04449950018898,233.9829307999462,225.09417239995673,233.9829307999462,8.888758399989456,False,
2026-01-18T09:43:57.846088,P06,A,4,16,A_MB04_T133,image,allfar_concave_01,allfar_concave,data/raw/stimuli/polygons/allfar_concave.json,A_Satelite_047,data/raw/stimuli/CAT2000/Satelite/047.jpg,Satelite,nan,1987,grid_31,960,1620,12.049751363346202,19.80974465169186,4.0,0.5,10.0,1,2.0,157.04706105708198,,,1920.0,1080.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,True,1,1.7440998000092804,234.04529380006716,235.92547419993207,234.18137220013887,241.90949770016596,237.32966369995847,241.3474838002585,241.3474838002585,241.84955860022455,241.90950050018728,241.84958960022777,234.04529380006716,241.84958960022777,7.804295800160617,False,
2026-01-18T09:44:05.662559,P06,A,4,17,A_MB04_T134,image,pair_C1_03,pair_C1_bbc_vs_chc_icc,data/raw/stimuli/polygons/pair_com_bbc_vs_chc_icc_03.json,A_Satelite_191,data/raw/stimuli/CAT2000/Satelite/191.jpg,Satelite,nan,1987,grid_32,1920,1620,23.119020643887126,19.80974465169186,4.0,0.5,10.0,1,2.0,157.04706105708198,,,1920.0,1080.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,True,1,1.761301300022751,241.91027180012316,243.79247400024906,242.03117110021412,249.7264958000742,245.14588640024886,249.16388030024245,249.16388030024245,249.66581480018795,249.7264986000955,249.6658485000953,241.91027180012316,249.6658485000953,7.755576699972153,False,
2026-01-18T09:44:13.962562,P06,A,4,18,A_MB04_T135,image,pair_C2_02,pair_C2_chc_vs_bbc_icc,data/raw/stimuli/polygons/pair_com_chc_vs_bbc_icc_02.json,A_OutdoorNatural_193,data/raw/stimuli/CAT2000/OutdoorNatural/193.jpg,OutdoorNatural,nan,1987,grid_33,2880,1620,32.63520862273857,19.80974465169186,4.0,0.5,10.0,1,2.0,157.04706105708198,,,1920.0,1080.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,True,1,2.078310700133443,249.72714530024678,251.94247450027615,249.8641468002461,258.02649560011923,253.44615420000628,257.4636421999894,257.4636421999894,257.96549919992685,258.02649840014055,257.96553080016747,249.72714530024678,257.96553080016747,8.238385499920696,False,
2026-01-18T09:44:25.660468,P06,A,4,19,A_MB04_T136,image,pair_C2_03,pair_C2_chc_vs_bbc_icc,data/raw/stimuli/polygons/pair_com_chc_vs_bbc_icc_03.json,A_Fractal_121,data/raw/stimuli/CAT2000/Fractal/121.jpg,Fractal,nan,1987,grid_11,960,540,12.049751363346202,6.846807837997614,4.0,0.5,10.0,1,2.0,157.04706105708198,,,1920.0,1080.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,True,1,5.61263330001384,258.0272433999926,263.7764737000689,258.16383829992265,269.72449639998376,265.14562880015,269.163258000277,269.163258000277,269.6650946000591,269.72449930012226,269.6651293002069,258.0272433999926,269.6651293002069,11.637885900214314,False,
2026-01-18T09:44:32.143474,P06,A,4,20,A_MB04_T137,empty,iso_icc_03,iso_icc,data/raw/stimuli/polygons/iso_icc_03.json,nan,nan,nan,nan,1987,grid_12,1920,540,23.119020643887126,6.846807837997614,4.0,0.5,10.0,1,2.0,157.04706105708198,,,1920.0,1080.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,True,1,1.7616500998847187,269.725248800125,271.6084741000086,269.84682280011475,276.2074994002469,271.630024000071,275.6463778000325,275.6463778000325,276.1483650999144,276.2075022999197,276.1484010000713,269.725248800125,276.1484010000713,6.423152199946344,False,
