center_bbc_x,center_bbc_y,center_chc_x,center_chc_y,center_com_x,center_com_y,center_icc_x,center_icc_y,n_participants,n_trials,polygon_case,polygon_id,dist_com_from_screen,dist_bbc_from_screen,dist_chc_from_screen,dist_icc_from_screen
12.712227090606055,-36.14513216666046,5.744606521031035,-29.553184949795035,3.564994664951894e-14,-22.70533539938829,-9.65150097369165,-2.5747465801204426,10,118,allfar_concave,allfar_concave_01,369.9570244708064,371.7317901861175,371.22860942974245,362.23321847658184
0.1266121116697434,44.646802212359866,9.449340025465109,29.252453877583612,9.449340025465107,29.25245387758361,33.42582041957986,8.690514219648694,10,118,allfar_convex,allfar_convex_01,326.4875175764805,323.4295067188546,326.4875175764805,324.24472731026736
-27.5025060924543,9.959843713547144,-20.437996851353567,20.41320689947125,-21.17283841425084,36.42025743046405,-69.14504667574133,61.4367850249905,10,117,allfar_intermediate,allfar_intermediate_01,345.1825817298878,366.9154092125559,354.7489333418181,370.6880721838413
,,,,,,,,10,119,baseline_asymmetric,baseline_asym_01,,,,
0.0,0.0,-0.0,-0.0,-0.0,-0.0,0.0,0.0,10,117,baseline_rectangle,baseline_rect_01,353.5533905932738,353.5533905932738,353.5533905932738,353.5533905932738
,,,,,,,,10,120,baseline_symmetric,baseline_sym_01,,,,
11.49046656450208,11.820848758035602,3.810291061312955,1.2121903090746216,1.5177848963150862,2.660712803407649,-0.2177734815004636,-0.5715381166842219,10,118,iso_bbc,iso_bbc_01,350.5996780000694,337.06988240713747,350.00678141733704,354.11160653133135
12.244560749788446,-10.269518354496954,2.557915705225088,-1.7838547851440936,3.2957663619803466,-1.0200347045931797,-0.837897159978732,0.7048317857599214,10,120,iso_bbc,iso_bbc_02,351.957435946476,352.51648341253895,353.0193969325326,353.6491644930132
11.274230436909379,-11.266782178813374,1.0103095838129834,-3.7549514355974787,1.5298378225904896,-2.9070972813770406,-0.04342111523595329,0.005764152931512081,10,118,iso_bbc,iso_bbc_03,354.541141967699,353.90722587079426,355.5101142184721,353.5800197971754
-3.30784347284154,0.8423227530047209,6.638151299529036,0.4827842046728172,-2.8283978535137795,0.3514678300551909,-3.990125005708701,0.2899996073503533,10,118,iso_chc,iso_chc_01,355.3119592355183,355.3088961677986,348.5453060667477,356.18263278339754
-4.69996071920918,4.1426953965149975,4.604941293437354,-0.3874191423476838,-4.352953624276132,-1.8957330297658703,-9.866440838494894,-4.664567824881086,10,118,iso_chc,iso_chc_02,357.9760960399399,354.00266131380636,350.5889252420319,363.84695845849865
3.6229342154552544,-4.265507806437476,-5.62072264284325,-2.843878786301,3.45091581916641,-1.9349282366192653,8.51341310768569,-2.984045422911856,10,118,iso_chc,iso_chc_03,352.5019985418498,354.051701033433,359.5441292583583,349.7380432372795
-9.979232329400169,10.440887924788944,-10.565992010795703,5.9778688199676075,-2.832871900081928,1.6020060724163852,5.31677622182244,-1.9580968047703011,10,119,iso_com,iso_com_01,354.43761721985874,353.5219504088081,356.98940698319745,351.2161194250112
-10.525673369023254,9.229647166868158,-10.660864474920944,5.637987815582827,-2.7805567279092283,1.1181582936084669,5.80900668149663,-1.8633870259210483,10,117,iso_com,iso_com_02,354.7395960290267,354.74496372432657,357.29102880933124,350.8053690325253
-5.7044413001077166,-7.793703552118704,-7.3817431876631305,-2.1667238838279785,0.8618630466662558,1.194757695641489,10.323024563361187,5.945152457473633,10,119,iso_com,iso_com_03,352.09921880445665,363.10102573762845,360.3240463258356,342.06406002890884
1.079174554477568,0.5361628050964917,0.4447276310828971,-0.09903671316739414,0.35442243179533106,-0.3385459998089129,13.090010135234095,-10.153092161596208,10,118,iso_icc,iso_icc_01,353.5425038275609,352.41138376687775,353.3091594227054,351.86073190818473
5.0271322105183724,-1.595411398243435,4.135749844607132,-2.3984905441186286,4.00715706685562,-1.489918302369872,-8.188124555866919,8.073785830203839,10,119,iso_icc,iso_icc_02,351.79490869264055,351.158022818295,352.3552575646107,353.8211423363589
1.1404362154727041,0.8861680124332931,0.19460853557064905,0.1201728367021288,0.2819899814639254,-0.13497105379831925,13.974663878489066,-10.7736858774966,10,120,iso_icc,iso_icc_03,353.44955548380904,352.1204109030813,353.3308104706642,351.7255670795165
0.2138979062257249,-7.472364443778485,-0.7944955144831684,0.13961400320509165,-0.9094187387151124,-7.0739842551358745,-0.2356042985263364,0.10923940970628276,10,118,pair_C1_bbc_vs_chc_icc,pair_C1_01,359.2249570848464,358.72707627313457,354.0170779366886,353.64282812895294
0.18265212303718315,-6.825078376180674,-0.7067201034580328,0.6615334477832195,-0.7649034207627334,-6.307935712656037,-0.2498460984078097,0.6427242474362038,10,118,pair_C1_bbc_vs_chc_icc,pair_C1_02,358.57606542672016,358.2845631383116,353.5866660489965,353.2761475715802
