timestamp,participant_id,part,mini_block,calibration_start_time,calibration_end_time,calibration_result,calibration_error_deg,validation_result,validation_error_avg_deg,validation_error_max_deg,n_trials,n_trials_completed,n_drift_failures,n_recalibrations_within_block,memory_response,memory_correct,memory_rt_ms,break_duration_actual_s,block_start_time,block_end_time,block_duration_s
2026-02-03T18:07:27.039943,P29,B,1,23.510154699906707,99.17452230025083,PASS,,PASS,,,39,39,0,,new,True,1804.9438996240497,31.00024399999529,23.50984949991107,425.08199180010706,401.572142300196
2026-02-03T18:13:05.114868,P29,B,2,425.0868219998665,430.63273040018976,PASS,,PASS,,,39,39,0,,new,True,1139.7633999586105,30.98392099980265,425.0864623002708,763.1569232000038,338.070460899733
2026-02-03T18:19:01.723386,P29,B,3,763.165875100065,767.2072381000035,PASS,,PASS,,,39,39,0,,old,True,3877.724099904299,30.98323869984597,763.1655276999809,1119.7647084998898,356.59918079990894
2026-02-03T18:26:10.683547,P29,B,4,1119.7692889999598,1155.3493758998811,PASS,,PASS,,,39,39,0,,new,False,4765.724199824035,30.977969399653375,1119.768940700218,1548.7250351998955,428.9560944996774
2026-02-03T18:32:29.908994,P29,B,5,1548.72998799989,1558.7091850000434,PASS,,PASS,,,39,39,0,,old,True,2082.246399950236,30.98373069986701,1548.7296727998182,1927.9504964998923,379.2208237000741
2026-02-03T18:39:12.364545,P29,B,6,1927.9549194001593,1945.1848936998285,PASS,,PASS,,,39,39,0,,new,True,1867.6451998762786,30.98359839990735,1927.9545720000751,2330.493085899856,402.5385138997808
2026-02-03T18:45:52.643162,P29,B,7,2330.4980180999264,2349.7608471000567,PASS,,PASS,,,39,39,0,,old,True,4595.112500246614,30.984428700059652,2330.497656200081,2730.869614200201,400.3719580001198
2026-02-03T18:53:11.941486,P29,B,8,2730.8742988002487,2815.3050299999304,PASS,,PASS,,,39,39,0,,new,True,1826.0174999013543,30.984421000350267,2730.873947999906,3170.26337839989,439.3894303999841
2026-02-03T18:58:40.107115,P29,B,9,3170.268142200075,3186.4139413000084,PASS,,PASS,,,39,39,0,,new,False,2754.610000178218,0.0,3170.2677950002253,3498.487056899816,328.2192618995905
