timestamp,participant_id,part,mini_block,trial_in_block,trial_uid,trial_type,polygon_id,polygon_case,polygon_json_path,image_id,image_path,category,bias_level,aperture_scale_factor,cue_pos_id,cue_x_px,cue_y_px,cue_x_deg,cue_y_deg,stimulus_duration_s,iti_s,max_drift_time_s,drift_retry_limit,aoi_radius_deg,aoi_radius_px,validation_rms_before_trial,validation_max_err_before_trial,center_screen_x_px,center_screen_y_px,center_screen_x_deg,center_screen_y_deg,center_mass_x_px,center_mass_y_px,center_mass_x_deg,center_mass_y_deg,dist_center_mass_to_screen_deg,angle_center_mass_to_screen_deg,center_hull_x_px,center_hull_y_px,center_hull_x_deg,center_hull_y_deg,dist_center_hull_to_screen_deg,angle_center_hull_to_screen_deg,center_bbc_x_px,center_bbc_y_px,center_bbc_x_deg,center_bbc_y_deg,dist_center_bbc_to_screen_deg,angle_center_bbc_to_screen_deg,center_icc_x_px,center_icc_y_px,center_icc_x_deg,center_icc_y_deg,dist_center_icc_to_screen_deg,angle_center_icc_to_screen_deg,fixation_achieved,fixation_attempts,fixation_total_time_s,ts_trial_start,ts_recording_start,ts_cue_onset,ts_fixation_end,ts_stim_onset,ts_stim_offset,ts_iti_onset,ts_iti_offset,ts_recording_stop,ts_trial_end,trial_start_time,trial_end_time,trial_duration_s,aborted,user_abort
2026-01-28T16:22:32.439868,P31,A,1,1,A_MB01_T001,image,pair_C2_03,pair_C2_chc_vs_bbc_icc,data/raw/stimuli/polygons/pair_com_chc_vs_bbc_icc_03.json,A_Random_169,data/raw/stimuli/CAT2000/Random/169.jpg,Random,nan,1987,grid_11,960,540,12.049751363346202,6.846807837997614,4.0,0.5,10.0,1,2.0,157.04706105708198,,,1920.0,1080.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,True,1,1.9544454999268055,483.9757508998737,486.2261181999929,486.2396932998672,492.4181546997279,487.8391494997777,491.85619070008397,491.85619070008397,492.3582799998112,492.41815769998357,492.35832489980385,483.9757508998737,492.35832489980385,8.382573999930173,False,
2026-01-28T16:22:40.373393,P31,A,1,2,A_MB01_T002,image,pair_C2_01,pair_C2_chc_vs_bbc_icc,data/raw/stimuli/polygons/pair_com_chc_vs_bbc_icc_01.json,A_Satelite_097,data/raw/stimuli/CAT2000/Satelite/097.jpg,Satelite,nan,1987,grid_12,1920,540,23.119020643887126,6.846807837997614,4.0,0.5,10.0,1,2.0,157.04706105708198,,,1920.0,1080.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,True,1,1.2725974000059068,492.4190663998015,494.01011579995975,494.02273260010406,500.3521409998648,495.7716230000369,499.7892263997346,499.7892263997346,500.2911324999295,500.3521439000033,500.2911652000621,492.4190663998015,500.2911652000621,7.872098800260574,False,
2026-01-28T16:23:39.354720,P31,A,1,3,A_MB01_T003,image,baseline_rect_01,baseline_rectangle,data/raw/stimuli/polygons/baseline_rectangle.json,A_Sketch_155,data/raw/stimuli/CAT2000/Sketch/155.jpg,Sketch,nan,1987,grid_13,2880,540,32.63520862273857,6.846807837997614,4.0,0.5,10.0,1,2.0,157.04706105708198,,,1920.0,1080.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,True,1,52.96324979979545,500.3529475000687,553.625116399955,553.6374663999304,559.3331426000223,554.7532524000853,558.7706892001443,558.7706892001443,559.2725686999038,559.3331455998123,559.2726031998172,500.3529475000687,559.2726031998172,58.919655699748546,False,
2026-01-28T16:23:47.554296,P31,A,1,4,A_MB01_T004,image,iso_icc_01,iso_icc,data/raw/stimuli/polygons/iso_icc_01.json,A_Object_075,data/raw/stimuli/CAT2000/Object/075.jpg,Object,nan,1987,grid_21,960,1080,12.049751363346202,13.503472356031734,4.0,0.5,10.0,1,2.0,157.04706105708198,,,1920.0,1080.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,True,1,1.8319908999837935,559.3339554001577,561.4751169001684,561.4871919997968,567.5331398998387,562.9525391999632,566.9703999999911,566.9703999999911,567.4723140001297,567.5331425997429,567.4723486998118,559.3339554001577,567.4723486998118,8.138393299654126,False,
2026-01-28T16:23:53.852768,P31,A,1,5,A_MB01_T005,image,allfar_convex_01,allfar_convex,data/raw/stimuli/polygons/allfar_convex.json,A_Random_155,data/raw/stimuli/CAT2000/Random/155.jpg,Random,nan,1987,grid_22,1920,1080,23.119020643887126,13.503472356031734,4.0,0.5,10.0,1,2.0,157.04706105708198,,,1920.0,1080.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,True,1,0.200248499866575,567.5339453998022,568.0511193000712,568.0704147000797,573.8311427999288,569.2533085998148,573.2702064998448,573.2702064998448,573.7720150998794,573.8311458001845,573.77204969991,567.5339453998022,573.77204969991,6.238104300107807,False,
2026-01-28T16:24:02.421895,P31,A,1,6,A_MB01_T006,image,allfar_intermediate_01,allfar_intermediate,data/raw/stimuli/polygons/allfar_intermediate.json,A_Satelite_015,data/raw/stimuli/CAT2000/Satelite/015.jpg,Satelite,nan,1987,grid_23,2880,1080,32.63520862273857,13.503472356031734,4.0,0.5,10.0,1,2.0,157.04706105708198,,,1920.0,1080.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,True,1,1.9648539000190794,573.8320029997267,576.1071155001409,576.1200704998337,582.4001393998042,577.8185736997984,581.8366319001652,581.8366319001652,582.3385425000452,582.400142100174,582.3385749999434,573.8320029997267,582.3385749999434,8.506572000216693,False,
2026-01-28T16:24:10.102404,P31,A,1,7,A_MB01_T007,image,pair_C1_03,pair_C1_bbc_vs_chc_icc,data/raw/stimuli/polygons/pair_com_bbc_vs_chc_icc_03.json,A_Fractal_073,data/raw/stimuli/CAT2000/Fractal/073.jpg,Fractal,nan,1987,grid_31,960,1620,12.049751363346202,19.80974465169186,4.0,0.5,10.0,1,2.0,157.04706105708198,,,1920.0,1080.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,True,1,1.2818863997235894,582.4009428997524,583.9891181997955,584.0031759999692,590.0811387998983,585.501388899982,589.5195790999569,589.5195790999569,590.0212690001354,590.0811415999196,590.0213048998266,582.4009428997524,590.0213048998266,7.620362000074238,False,
2026-01-28T16:24:17.986889,P31,A,1,8,A_MB01_T008,image,iso_icc_01,iso_icc,data/raw/stimuli/polygons/iso_icc_01.json,A_Random_121,data/raw/stimuli/CAT2000/Random/121.jpg,Random,nan,1987,grid_32,1920,1620,23.119020643887126,19.80974465169186,4.0,0.5,10.0,1,2.0,157.04706105708198,,,1920.0,1080.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,True,1,1.1309322998858988,590.0819337000139,591.5361164999194,591.5528576001525,597.9651382998563,593.3848696001805,597.4027900998481,597.4027900998481,597.9047435000539,597.9651409997605,597.9047767999582,590.0819337000139,597.9047767999582,7.8228430999442935,False,
2026-01-28T16:24:26.018490,P31,A,1,9,A_MB01_T009,image,baseline_asym_01,baseline_asymmetric,data/raw/stimuli/polygons/baseline_asymmetric_consolidated.json,A_Random_189,data/raw/stimuli/CAT2000/Random/189.jpg,Random,nan,1987,grid_33,2880,1620,32.63520862273857,19.80974465169186,4.0,0.5,10.0,1,2.0,157.04706105708198,,,1920.0,1080.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,True,1,1.1496825995855033,597.9659366998821,599.4241173998453,599.4359589000233,605.997138499748,601.4182160999626,605.4358357000165,605.4358357000165,605.93772980012,605.9971412997693,605.9377629999071,597.9659366998821,605.9377629999071,7.971826300024986,False,
2026-01-28T16:24:32.203533,P31,A,1,10,A_MB01_T010,empty,pair_C1_02,pair_C1_bbc_vs_chc_icc,data/raw/stimuli/polygons/pair_com_bbc_vs_chc_icc_02.json,nan,nan,nan,nan,1987,grid_11,960,540,12.049751363346202,6.846807837997614,4.0,0.5,10.0,1,2.0,157.04706105708198,,,1920.0,1080.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,True,1,1.1644707997329533,605.9979424001649,607.4721177997999,607.4857330997474,612.1821388998069,607.6024603997357,611.6190363001078,611.6190363001078,612.1209450000897,612.1821417999454,612.1209816001356,605.9979424001649,612.1209816001356,6.123039199970663,False,
